port_origin,port_dest,lat_o,lon_o,lat_d,lon_d,gc_distance_km,departure_date,avg_wind_knots,rain_mm,temp_c,max_wave_m,visibility_km,month,season,origin_queue,dest_queue,port_congestion_idx,delay_hours
Valparaíso,Hong Kong,-33.0472,-71.6128,22.3193,114.1694,18693.968952454135,2024-02-25,9.342,0.1,37.5,2.103946466836537,18.113408483800743,2,DJF,3,1,1.1756223516367559,7.006733491234999
Hamburgo,Valparaíso,53.5488,9.9872,-33.0472,-71.6128,12394.05645388566,2021-09-13,15.39,0.5,27.5,1.3528354557349367,19.15268944836164,9,SON,1,7,0.8438651200806646,9.397912386818096
Long Beach,San Antonio,33.7709,-118.1937,-33.5983,-71.6123,8930.200780221241,2019-05-20,16.416,0.6,25.9,2.4035516955829386,16.942884546715273,5,MAM,4,2,0.9580877400853738,10.95673887608307
Lisboa,Rotterdam,38.7223,-9.1393,51.9244,4.4777,1807.0005898769225,2023-09-02,6.858,7.7,25.9,0.9476690280595255,15.415279133915186,9,SON,2,3,0.2438037657872288,6.692725553653361
Busan,Casablanca,35.1796,129.0756,33.5731,-7.5898,11139.40361209663,2020-12-14,5.2379999999999995,0.0,9.6,1.3520573238801985,17.86326305081415,12,DJF,7,0,0.3894713590842857,5.2460729606080365
Vancouver,Rotterdam,49.2827,-123.1207,51.9244,4.4777,7721.296024178541,2023-01-07,20.196,0.1,1.8,5.08,16.554565795564955,1,DJF,7,3,1.0326781960578375,15.100247276137006
Durban,Busan,-29.8833,31.05,35.1796,129.0756,12532.29024081992,2021-04-28,5.184,0.0,29.4,1.1631546390395613,18.814696275686273,4,MAM,6,1,0.3397524836093098,5.91623530646555
Shanghai,Dubai,31.2304,121.4737,25.2769,55.2962,6420.905630763053,2022-12-27,8.586,0.0,20.0,2.1218803708405707,17.23334658210799,12,DJF,2,6,0.6589157755383399,7.8041558147020025
Rio de Janeiro,Long Beach,-22.9068,-43.1729,33.7709,-118.1937,10125.10769366173,2021-10-29,9.612000000000002,3.0,28.3,1.42,16.995303678126007,10,SON,5,6,0.9649988574160255,9.582611702938092
Le Havre,Valparaíso,49.4944,0.1089,-33.0472,-71.6128,11577.14539827906,2020-10-27,14.472000000000001,0.2,27.7,0.5708810195062606,17.690434810142065,10,SON,2,3,0.4145846728195292,5.4596003171943925
Buenos Aires,Long Beach,-34.6037,-58.3816,33.7709,-118.1937,9826.771738321142,2020-09-08,14.472000000000001,4.3,26.0,1.1752656428633723,16.470247629292057,9,SON,0,3,0.7570321523412784,8.075827002761581
San Antonio,Singapore,-33.5983,-71.6123,1.3521,103.8198,16398.013550387503,2023-11-19,10.908,0.1,33.0,0.884037715787719,16.524992425293153,11,SON,2,0,0.29004786077564176,5.78649840578929
